Buenos Aires;100;1010;AAA100;2010;Automovil
Buenos Aires;100;1010;AAA101;2010;Camion
Buenos Aires;100;1010;AAA102;2010;Camioneta
Buenos Aires;100;2010;AAA103;2016;Automovil
Buenos Aires;100;2010;AAA104;2016;Automovil
Buenos Aires;100;2010;AAA105;2005;Automovil
Buenos Aires;200;3010;AAA106;2014;Camion
Buenos Aires;200;3010;AAA107;2007;Camioneta
Buenos Aires;200;3010;AAA108;2017;Automovil
Buenos Aires;200;3010;AAA109;2018;Automovil
Buenos Aires;200;4010;AAA110;2010;Automovil
Buenos Aires;200;4010;AAA111;2011;Camion
Buenos Aires;200;4010;AAA112;2012;Camioneta
Chaco;500;3500;AAA113;2010;Automovil
Chaco;500;3500;AAA114;2011;Automovil
Chaco;500;3500;AAA115;2019;Automovil
Chaco;500;3500;AAA116;2019;Camion
Chaco;500;3503;AAA117;2001;Camioneta
Chaco;500;3503;AAA118;2015;Automovil
Chaco;500;3503;AAA119;2010;Automovil
Chaco;700;3550;AAA120;2003;Automovil
Chaco;700;3550;AAA121;2016;Camion
Chaco;700;3550;AAA122;2017;Camioneta
Chaco;700;3550;AAA123;2014;Automovil
Chaco;700;3570;AAA124;2006;Automovil
Chaco;700;3570;AAA125;2018;Automovil
Chaco;700;3570;AAA126;2017;Camion
Chaco;900;3580;AAA127;2012;Camioneta
Chaco;900;3580;AAA128;2013;Automovil
Chaco;900;3580;AAA129;2016;Automovil
Chaco;900;3580;AAA130;2017;Automovil
Chaco;900;3590;AAA131;2000;Automovil
Chaco;900;3590;AAA132;2001;Camion
Chaco;900;3590;AAA133;2019;Camioneta
